,result
1892,1
1903,1
1904,1
1915,1
1927,1
1928,1
1933,1
1936,1
1938,1
1940,1
1941,1
1942,1
1943,1
1947,1
1948,1
1949,1
1951,1
1953,1
1954,1
1965,1
1966,1
1967,1
1968,1
1985,1
1986,1
1988,1
1991,1
1995,1
2004,1
2005,1
2008,1
2009,1
2011,1
2012,1
2015,1
2018,1
2020,1
2022,1
2025,1
2026,1
2027,1
2033,1
2044,1
2053,1
2060,1
2061,1
2062,1
2064,1
2074,1
2092,1
2099,1
2100,1
2109,1
2112,1
2119,1
2120,1
2128,1
2131,1
2137,1
2139,1
2140,1
2149,1
2153,1
2162,1
2164,1
2169,1
2170,1
2171,1
2183,1
2184,1
2209,1
2211,1
2212,1
2213,1
2219,1
2220,1
2225,1
2226,1
2227,1
2244,1
2245,1
2246,1
2248,1
2253,1
2262,1
2266,1
2272,1
2277,1
2278,1
2279,1
2280,1
2282,1
2289,1
2307,1
2314,1
2315,1
2319,1
2322,1
2331,1
2338,1
2343,1
2349,1
2350,1
2352,1
2359,1
2365,1
2367,1
2385,1
2386,1
2397,1
2398,1
2399,1
2409,1
2410,1
2414,1
2416,1
2417,1
2420,1
2432,1
2436,1
2439,1
2440,1
2449,1
2451,1
2455,1
2456,1
2457,1
2465,1
2472,1
2478,1
2479,1
2483,1
2497,1
2499,1
2502,1
2503,1
2507,1
2508,1
2509,1
2511,1
2513,1
2515,1
2517,1
2521,1
2522,1
2524,1
2534,1
2535,1
2540,1
2546,1
2547,1
2563,1
2582,1
2585,1
2594,1
2598,1
2603,1
2624,1
2630,1
2636,1
2637,1
2650,1
2652,1
2657,1
2661,1
2664,1
2669,1
2673,1
2674,1
2675,1
2685,1
2690,1
2695,1
2699,1
2709,1
2710,1
2711,1
2712,1
2713,1
2716,1
2723,1
2725,1
2731,1
2744,1
2751,1
2758,1
2759,1
2761,1
2763,1
2770,1
2771,1
2774,1
2775,1
2781,1
2794,1
2801,1
2803,1
2804,1
2805,1
2806,1
2815,0
2822,1
2823,1
2824,1
2829,1
2833,1
2836,1
2837,1
2842,1
2845,1
2846,1
2854,1
2856,1
2859,1
2860,1
2861,1
2866,1
2867,1
2869,1
2877,1
2893,1
2894,1
2895,1
2897,1
2899,1
2906,1
2907,1
2908,1
2911,1
2912,1
2913,1
2914,1
2916,1
2920,1
2921,1
2922,1
2923,1
2938,1
2939,1
2940,1
2941,1
2942,1
2943,1
2947,1
2950,1
2953,1
2976,1
2977,1
2978,1
2983,1
2984,1
2988,1
2991,1
2992,1
2994,1
2997,1
2998,1
3012,1
3021,1
3035,1
3041,1
3042,1
3051,1
3059,1
3068,1
3073,1
3078,1
3081,1
3095,1
3101,1
3106,1
3129,1
3138,1
3140,1
3141,1
3143,1
3145,1
3147,1
3153,1
3156,1
3157,1
3159,1
3160,1
3165,1
3167,1
3168,1
3172,1
3180,1
3181,1
3197,1
3202,1
3205,1
3207,1
3211,1
3214,1
3215,1
3217,1
3237,1
3238,1
3247,1
3257,1
3258,1
3261,1
3275,1
3285,1
3286,1
3295,1
3301,1
3302,1
3311,1
3312,1
3326,1
3342,1
3345,1
3348,1
3353,1
3363,1
3367,1
3371,1
3373,1
3375,1
3383,1
3384,1
3385,1
3389,1
3394,1
3404,1
3409,1
3410,1
3423,0
3438,1
3441,1
3445,1
3457,1
3460,1
3464,1
3475,1
3478,1
3480,1
3499,1
3506,1
3507,1
3508,1
3509,1
3518,1
3523,1
3527,1
3528,1
3541,1
3553,1
3565,1
3566,1
3567,1
3568,1
3578,1
3579,1
3583,1
3584,1
3588,1
3589,1
3590,1
3591,1
3594,1
3595,1
3602,1
3603,1
3624,1
3630,1
3633,1
3634,1
3635,1
3637,1
3652,1
3653,1
3663,1
3666,1
3669,1
3681,1
3684,1
3687,1
3688,1
3691,1
3700,1
3717,1
3718,1
3719,1
3720,1
3727,1
3730,1
3739,1
3740,1
3741,1
3742,1
3747,1
3759,1
3760,1
3762,1
3763,1
3764,1
3766,1
3767,1
3777,1
3778,1
3781,1
3783,1
3784,1
3785,1
3790,1
3791,1
3794,1
3795,1
3801,1
3804,1
3807,1
3818,1
3822,1
3825,1
3826,1
3829,1
3830,1
3831,1
3837,1
3845,1
3854,1
3861,1
3885,1
3886,1
3892,1
3893,1
3894,1
3899,1
3900,1
3904,1
3905,1
3911,1
3925,1
3933,1
3938,1
3943,1
3958,1
3964,1
3965,1
3966,1
3968,1
3973,1
3987,1
3988,1
3992,1
3998,1
3999,1
4011,1
4012,1
4038,1
4040,1
4042,1
4047,1
4057,1
4063,1
4064,1
4065,1
4071,1
4072,1
4076,1
4077,1
4081,1
4082,1
4090,1
4096,1
4104,1
4105,1
4108,1
4109,1
4120,1
4123,1
4124,1
4126,1
4137,1
4142,1
4144,1
4145,1
4160,1
4163,1
4168,1
4169,1
4170,1
4176,1
4177,1
4190,1
4192,1
4195,1
4204,1
4205,1
4208,1
4214,1
4217,1
4218,1
4219,1
4228,1
4230,1
4241,1
4243,1
4246,1
4261,1
4267,1
4269,1
4273,1
4274,1
4278,1
4280,1
4282,1
4298,1
4302,1
4303,1
4304,1
4309,1
4311,1
4312,1
4320,1
4324,1
4326,1
4328,1
4334,1
4335,1
4340,1
4345,1
4346,1
4347,1
4354,1
4356,1
4357,1
4358,1
4363,1
4366,1
4377,1
4381,1
4390,1
4391,1
4409,1
4416,1
4418,1
4420,1
4424,1
4425,1
4443,1
4449,1
4459,1
4460,1
4461,1
4470,1
4472,1
4473,1
4481,1
4488,1
4492,1
4493,1
4499,1
4500,1
4504,1
4506,1
4509,1
4515,1
4516,1
4517,1
4520,1
4521,1
4522,1
4526,1
4528,1
4529,1
4530,1
4535,1
4559,1
4560,1
4561,1
4562,1
4564,1
4581,1
4585,1
4587,1
4593,1
4595,1
4600,1
4608,1
4609,1
4610,1
4614,1
4616,1
4619,1
4623,1
4624,1
4631,1
4633,1
4644,1
4645,1
4650,1
4651,1
4688,1
4689,1
4692,1
4694,1
4700,1
4703,1
4705,1
4706,1
4708,1
4712,1
4713,1
4717,1
4725,1
4728,1
4731,1
4742,1
4747,1
4749,1
4757,1
4759,1
4761,1
4766,1
4785,1
4792,1
4797,1
4800,1
4803,1
4811,1
4814,1
4818,1
4819,1
4821,1
4824,1
4831,1
4832,1
4854,1
4859,1
4861,1
4874,1
4881,0
4882,1
4885,1
4889,1
4894,1
4895,1
4911,1
4914,1
4923,1
4928,1
4934,1
4935,1
4937,1
4938,1
4946,1
4948,1
4960,1
4961,1
4964,1
4965,1
4967,1
4971,1
4974,1
4988,1
4989,1
4991,1
4992,1
4993,1
4999,1
5000,1
5002,1
5006,1
5007,1
5016,1
5017,1
5018,1
5019,1
5022,1
5027,1
5031,1
5033,1
5037,0
5057,1
5060,1
5062,1
5071,1
5072,1
5073,1
5077,1
5080,1
5082,1
5086,1
5095,1
5098,1
5100,1
5102,1
5103,1
5107,1
5116,1
5120,0
5124,1
5125,1
5128,1
5129,1
5131,1
5134,1
5140,1
5146,1
5152,1
5157,1
5159,1
5162,1
5167,1
5168,1
5174,1
5180,1
5188,1
5190,1
5199,1
5201,1
5202,1
5204,1
5206,1
5208,1
5210,1
5211,1
5212,1
5238,1
5244,1
5261,1
5262,1
5268,1
5275,1
5278,1
5284,1
5304,1
5310,1
5314,1
5321,1
5325,1
5328,1
5329,1
5330,1
5331,1
5354,1
5357,1
5362,1
5364,1
5365,1
5377,1
5378,1
5382,1
5393,1
5396,1
5401,1
5407,1
5420,1
5421,1
5422,1
5426,1
5431,1
5438,0
5441,1
5445,1
5450,1
5455,1
5456,1
5458,1
5459,1
5460,1
5466,1
5467,1
5476,1
5477,1
5482,1
5488,1
5490,1
5497,1
5506,1
5509,1
5514,1
5515,1
5518,1
5519,1
5521,1
5547,1
5553,1
5554,1
5558,1
5560,1
5569,1
5570,1
5571,1
5572,1
5573,1
5585,1
5586,1
5588,1
5590,1
5602,1
5608,1
5612,1
5615,1
5624,1
5626,1
5627,1
5629,1
5643,1
5645,1
5647,1
5667,1
5668,1
5685,1
5688,1
5690,1
5692,1
5695,1
5700,1
5701,1
5702,1
5705,1
5712,1
5713,1
5714,1
5715,1
5716,1
5720,1
5721,1
5722,1
5723,1
5729,1
5732,1
5735,1
5736,1
5737,1
5739,1
5740,1
5741,1
5746,1
5750,1
5758,1
5759,1
5760,1
5764,1
5765,1
5766,1
5770,1
5779,1
5780,1
5784,1
5787,1
5793,1
5796,1
5798,1
5803,1
5806,1
5807,1
5832,1
5834,1
5843,1
5844,1
5846,1
5848,1
5849,1
5857,1
5858,1
5860,1
5862,1
5868,1
5870,1
5877,1
5880,1
5882,1
5886,1
5891,1
5892,1
5893,1
5894,1
5895,1
5896,1
5900,1
5902,1
5907,1
5910,1
5919,1
5921,1
5923,1
5937,1
5941,1
5942,1
5946,1
5949,1
5951,1
5954,1
5958,1
5962,1
5968,1
5989,1
5993,1
5995,1
5996,1
6000,1
6001,1
6007,1
6022,1
6030,1
6035,1
6039,1
6041,1
6048,1
6057,1
6060,1
6062,1
6063,1
6064,1
6070,1
6074,1
6096,1
6099,1
6103,1
6109,1
6110,1
6112,1
6117,1
6120,1
6122,1
6125,1
6131,1
6132,1
6133,1
6144,1
6154,1
6156,1
6157,1
6166,1
6167,1
6168,1
6169,1
6186,1
6187,1
6190,1
6191,1
6196,1
6197,1
6198,1
6201,1
6202,1
6219,1
6220,1
6223,1
6224,1
6225,1
6231,1
6238,1
6242,1
6243,1
6248,1
6254,1
6256,1
6267,1
6270,1
6279,1
6284,1
6298,1
6305,1
6306,1
6309,1
6310,1
6321,1
6322,1
6326,1
6328,1
6329,1
6332,1
6333,1
6340,1
6341,1
6342,1
6343,1
6361,1
6364,1
6371,1
6372,1
6379,1
6380,1
6386,1
6387,1
6390,1
6392,1
6403,1
6404,1
6409,1
6418,1
6428,1
6442,1
6445,1
6448,1
6453,1
6454,1
6455,1
6458,1
6459,1
6466,1
6474,1
6476,1
6482,1
6485,1
6487,1
6500,1
6506,1
6518,1
6529,1
6533,1
6544,1
6545,1
6550,1
6551,1
6573,1
6578,1
6584,1
6591,1
6592,1
6594,1
6598,1
6605,1
6610,1
6612,1
6613,1
6619,1
6638,1
6640,1
6648,1
6653,1
6654,1
6661,1
6663,1
6664,1
6665,1
6669,1
6670,1
6686,1
6690,1
6692,1
6697,1
6701,1
6702,1
6705,1
6708,1
6709,1
6710,1
6715,1
6722,1
6724,1
6730,1
6731,1
6734,1
6741,1
6742,1
6744,1
6747,1
6748,1
6751,1
6754,1
6759,1
6762,1
6764,1
6769,1
6770,1
6772,1
6782,1
6789,1
6790,1
6792,1
6799,1
6802,1
6810,1
6812,1
6813,1
6815,1
6817,1
6822,1
6832,1
6839,1
6845,1
6846,1
6852,1
6865,1
6870,1
6871,1
6874,1
6884,1
6890,1
6893,1
6899,1
6903,1
6906,1
6909,1
6911,1
6917,1
6919,1
6923,1
6927,1
6931,1
6934,1
6942,1
6947,1
6951,1
6957,1
6958,1
6962,1
6964,1
6968,1
6969,1
6978,1
6980,1
7004,1
7010,1
7014,1
7023,1
7038,1
7046,1
7055,1
7056,1
7059,1
7062,1
7074,1
7081,1
7082,1
7091,1
7102,1
7103,1
7119,1
7120,1
7131,1
7132,1
7134,1
7137,1
7138,1
7140,1
7146,1
7148,1
7149,1
7156,1
7157,1
7158,0
7159,1
7163,1
7165,1
7175,1
7176,1
7178,1
7185,1
7190,1
7194,1
7202,1
7206,1
7210,1
7211,1
7216,1
7217,1
7222,1
7223,1
7224,1
7231,1
7232,1
7236,1
7239,1
7246,1
7247,1
7269,1
7274,1
7275,1
7277,1
7278,1
7289,1
7293,1
7294,1
7295,1
7296,1
7301,1
7308,1
7311,1
7327,1
7330,1
7331,1
7335,1
7342,1
7344,1
7345,1
7346,1
7347,1
7352,1
7362,1
7366,1
7367,1
7372,1
7377,1
7383,1
7402,1
7404,1
7408,1
7409,0
7415,1
7418,0
7428,1
7434,1
7437,1
7439,0
7445,1
7446,1
7453,1
7457,1
7458,1
7466,1
7470,1
7476,1
7478,1
7479,1
7485,1
7487,1
7488,1
7490,1
7503,1
7529,1
7531,1
7536,1
7539,1
7567,1
7572,1
7574,1
7575,1
7578,1
7582,1
7583,1
7584,1
7587,1
7589,1
7596,1
7606,1
7607,1
7609,1
7610,1
7615,1
7616,1
7617,1
7619,1
7630,1
7633,1
7640,1
7641,1
7642,1
7645,1
7647,1
7652,1
7658,1
7665,1
7670,1
7671,1
7677,1
7680,1
7682,1
7692,1
7694,1
7695,1
7700,1
7708,1
7710,1
7711,1
7713,1
7721,1
7724,1
7727,1
7731,1
7737,1
7738,1
7744,1
7745,1
7747,1
7749,1
7753,1
7758,1
7759,1
7768,1
7771,1
7774,1
7777,1
7778,1
7780,1
7782,1
7784,1
7786,1
7790,1
7792,1
7796,1
7798,1
7799,1
7810,1
7811,0
7814,1
7815,1
7816,1
7819,1
7823,1
7824,1
7828,1
7832,1
7841,1
7848,1
7849,1
7850,1
7851,1
7859,1
7862,1
7867,1
7868,1
7871,1
7876,1
7893,1
7898,1
7906,1
7908,1
7924,1
7942,1
7943,1
7959,1
7960,1
7968,1
7972,1
7975,1
7979,1
7983,1
7984,1
7987,1
7988,1
7991,1
7992,1
8001,1
8002,1
8003,1
8007,1
8009,0
8012,1
8016,1
8017,1
8020,1
8023,1
8035,1
8039,1
8044,1
8054,1
8056,1
8057,1
8061,1
8071,1
8075,1
8077,1
8080,1
8081,1
8082,1
8083,1
8085,1
8103,0
8104,1
8108,1
8112,1
8122,1
8124,1
8127,1
8138,1
8147,1
8148,1
8152,1
8154,1
8157,1
8175,1
8180,1
8183,1
8184,1
8185,1
8188,1
8189,1
8199,1
8207,1
8210,1
8211,1
8219,1
8220,1
8226,1
8236,1
8238,1
8247,1
8250,1
8252,1
8258,1
8260,1
8263,1
8264,1
8265,1
8266,1
8269,1
8271,1
8277,1
8282,1
8310,1
8312,1
8313,1
8317,1
8318,1
8322,1
8327,1
8343,1
8344,1
8349,1
8350,1
8356,1
8358,1
8359,1
8360,1
8361,1
8363,1
8365,1
8372,1
8374,1
8380,1
8382,1
8387,1
8388,1
8390,1
8391,1
8400,1
8401,1
8406,1
8410,1
8420,1
8430,1
8439,1
8440,1
8449,1
8450,1
8451,1
8462,1
8463,1
8464,1
8469,1
8477,1
8478,1
8479,1
8490,1
8491,1
8495,1
8502,1
8507,1
8520,1
8521,1
8522,1
8525,1
8527,1
8529,0
8534,1
8535,1
8567,1
8570,1
8578,1
8582,1
8583,1
8588,1
8589,1
8607,1
8619,1
8624,1
8625,1
8629,1
8630,1
8637,1
8645,1
8649,1
8652,1
8655,1
8658,1
8672,1
8679,1
8680,1
8682,1
8685,1
8686,1
8690,1
8693,1
8695,1
8699,1
8701,1
8702,1
8713,1
8722,1
8723,1
8724,1
8735,1
8736,1
8758,1
8760,1
8772,1
8773,1
8783,1
8787,1
8790,1
8803,1
8807,1
8808,1
8810,1
8811,1
8812,1
8813,1
8814,1
8820,1
8821,1
8824,1
8843,1
8846,1
8847,1
8854,1
8855,1
8867,1
8868,1
8879,1
8880,1
8881,0
8904,1
8913,1
8914,1
8918,1
8919,1
8951,1
8957,1
8962,1
8982,1
8985,1
8991,1
9000,1
9005,1
9015,1
9016,1
9029,1
9044,1
9048,1
9051,1
9052,1
9062,1
9063,1
9070,1
9071,1
9080,1
9081,1
9082,1
9090,1
9093,1
9094,1
9100,1
9104,1
9105,1
9106,1
9117,1
9126,1
9133,1
9138,1
9150,1
9151,1
9157,1
9158,1
9159,1
9166,1
9181,1
9182,1
9186,1
9191,1
9193,1
9194,1
9195,1
9204,1
9217,1
9218,1
9221,1
9222,1
9236,1
9237,1
9238,1
9239,1
9244,1
9252,1
9253,1
9254,1
9257,1
9259,1
9260,1
9267,1
9268,1
9269,1
9293,1
9299,1
9305,1
9306,1
9316,1
9319,1
9330,0
9331,1
9348,1
9357,1
9359,1
9361,1
9366,1
9369,1
9370,1
9376,1
9378,1
9379,1
9383,1
9384,1
9395,1
9396,1
9403,1
9406,1
9412,1
9417,1
9418,1
9425,1
9426,1
9429,1
9435,1
9442,1
9445,1
9457,1
9466,1
9467,1
9476,1
9486,1
9487,1
9488,1
9491,1
9492,1
9502,1
9506,1
9507,1
9511,1
9514,1
9515,1
9516,1
9520,1
9525,1
9530,1
9532,1
9540,1
9543,1
9544,1
9547,1
9553,1
9560,1
9562,1
9581,1
9598,1
9599,1
9604,1
9605,1
9608,1
9617,1
9625,1
9638,1
9639,1
9644,1
9646,1
9649,1
9661,1
9663,1
9666,1
9669,1
9678,1
9679,1
9683,1
9693,1
9699,1
9702,1
9703,1
9716,1
9727,1
9739,1
9740,1
9769,1
9770,1
9774,1
9775,1
9782,1
9783,1
9784,1
9792,1
9797,1
9799,1
9800,1
9802,1
9805,1
9812,1
9830,1
9831,1
9834,1
9847,1
9848,1
9856,1
9868,1
9877,1
9893,1
9898,1
9899,1
9903,1
9904,1
9918,1
9923,1
9924,1
9932,1
9933,1
9941,1
9944,1
9950,1
9951,1
9952,1
9956,1
9964,1
9971,1
9979,1
9982,1
9983,1
9984,1
9993,1
9994,1
10003,1
10004,1
10006,1
10013,1
10014,1
10030,1
10031,1
10037,1
10038,1
10041,1
10066,1
10067,1
10070,1
10071,1
10075,1
10077,1
10080,1
10081,1
10085,1
10087,1
10088,1
10090,1
10096,1
10097,1
10098,1
10099,1
10111,1
10114,1
10115,1
10119,1
10125,1
10126,1
10128,1
10131,1
10133,1
10149,1
10150,1
10153,1
10163,1
10165,1
10181,1
10188,1
10190,1
10207,1
10210,1
10231,1
10237,0
10242,1
10248,1
10251,1
10253,1
10261,1
10262,1
10266,1
10271,1
10278,1
10282,1
10288,1
10294,1
10302,1
10315,1
10318,1
10325,1
10333,1
10335,1
10336,1
10340,1
10341,1
10342,1
10345,1
10356,1
10359,1
10361,1
10366,1
10367,1
10370,1
10371,1
10372,1
10383,1
10391,1
10395,1
10396,1
10397,1
10398,1
10402,1
10404,1
10405,1
10420,1
10425,1
10426,1
10428,1
10430,1
10432,1
10433,1
10437,1
10438,1
10439,1
10442,1
10448,1
10451,1
10454,1
10458,1
10459,1
10465,1
10469,1
10474,1
10479,1
10482,1
10494,1
10498,0
10520,1
10534,1
10538,1
10560,1
10562,1
10574,1
10577,1
10583,1
10586,1
10589,1
10591,1
10592,1
10593,1
10595,1
10597,1
10602,1
10603,1
10604,1
10606,1
10607,1
10618,1
10625,1
10638,1
10644,1
10648,1
10649,1
10650,1
10669,1
10675,1
10678,1
10686,1
10696,1
10699,0
10700,1
10701,1
10702,1
10705,1
10718,1
10722,1
10732,1
10743,1
10761,1
10762,1
10763,1
10772,1
10783,1
10784,1
10795,1
10800,1
10804,1
10814,1
10821,1
10830,1
10848,1
10853,1
10863,1
10864,1
10866,1
10871,1
10873,1
10882,1
10883,1
10890,1
10906,1
10909,1
10920,1
10921,1
10923,1
10933,1
10935,0
10939,1
10940,1
10941,1
10958,1
10962,1
10986,1
10990,1
10996,1
11008,1
11016,1
11017,1
11025,0
11027,1
11028,1
11033,1
11034,1
11036,1
11037,1
11041,1
11042,1
11046,1
11048,1
11063,1
11067,1
11068,1
11079,1
11081,1
11092,1
11093,1
11099,1
11126,1
11129,1
11130,1
11139,1
11144,1
11145,1
11146,1
11148,1
11156,1
11158,1
11164,1
11170,1
11171,1
11173,1
11176,1
11180,1
11189,1
11203,1
11207,1
11208,1
11222,1
11223,1
11229,1
11232,1
11235,1
11255,1
11257,1
11261,1
11265,1
11268,1
11289,1
11290,1
11291,1
11292,1
11301,1
11302,1
11304,1
11307,1
11311,1
11314,1
11328,1
11329,1
11338,1
11348,0
11350,1
11351,1
11357,1
11358,1
11359,1
11360,1
11363,1
11369,1
11372,1
11374,1
11376,1
11385,1
11387,1
11391,1
11396,1
11398,1
11399,1
11401,1
11404,1
11413,1
11414,1
11415,1
11419,1
11420,1
11421,1
11422,1
11426,1
11427,1
11429,1
11430,1
11434,1
11437,1
11439,1
11459,1
11468,1
11470,1
11475,1
11479,1
11480,1
11481,1
11486,1
11489,1
11499,1
11503,1
11507,1
11518,1
11524,1
11526,1
11529,1
11537,1
11538,1
11540,1
11541,1
11543,1
11544,1
11547,1
11560,1
11566,1
11572,1
11574,1
11592,1
11594,1
11597,1
11602,1
11603,1
11611,1
11613,1
11616,1
11619,1
11620,1
11630,1
11647,1
11650,1
11655,0
11673,1
11684,1
11686,1
11688,1
11690,1
11708,1
11711,1
11716,1
11717,1
11718,1
11723,1
11737,1
11738,1
11753,1
11759,1
11760,1
11773,1
11783,1
11787,1
11791,1
11792,1
11793,1
11794,1
11796,1
11819,1
11838,1
11846,1
11848,1
11853,1
11856,1
11872,1
11875,1
11877,1
11878,1
11882,1
11888,1
11895,1
11900,1
11901,1
11907,1
11908,1
11913,1
11917,1
11921,1
11933,1
11944,1
11949,1
11958,1
11961,1
11972,1
11977,1
11981,1
11988,0
11995,1
11999,1
12000,1
12004,1
12007,1
12009,1
12011,1
12023,1
12025,1
12032,1
12035,1
12044,1
12048,1
12050,1
12052,1
12055,1
12058,1
12059,1
12065,1
12071,1
12077,1
12084,1
12086,0
12104,1
12107,1
12109,1
12114,1
12122,1
12129,1
12132,1
12133,1
12138,1
12141,1
12143,1
12149,1
12162,1
12174,1
12185,1
12199,0
12217,1
12227,1
12230,1
12231,1
12234,1
12239,1
12240,1
12243,1
12244,1
12253,1
12254,1
12265,1
12271,1
12272,1
12284,1
12288,1
12290,1
12291,1
12293,0
12298,1
12303,1
12320,1
12329,1
12338,1
12341,1
12342,0
12346,1
12354,1
12358,1
12374,1
12377,1
12382,0
12385,1
12393,1
12398,1
12404,1
12408,1
12419,1
12429,1
12431,1
12436,1
12437,1
12442,1
12444,1
12445,1
12451,1
12457,1
12458,1
12459,1
12470,1
12474,1
12478,1
12479,1
12481,1
12483,1
12484,1
12485,1
12495,1
12501,1
12502,1
12503,1
12509,1
12514,1
12515,1
12517,1
12527,1
12533,1
12543,1
12544,1
12576,1
12589,1
12604,1
12605,1
12610,1
12613,1
12622,1
12629,1
12642,1
12643,1
12651,1
12656,1
12667,1
12673,1
12679,1
12683,1
12699,1
12701,1
12718,1
12721,1
12725,1
12731,1
12738,1
12749,1
12755,1
12759,1
12760,1
12768,1
12772,1
12788,1
12789,1
12792,1
12808,1
12809,1
12818,1
12836,1
12852,1
12853,1
12857,1
12869,1
12903,1
12906,1
12907,1
12909,1
12914,1
12923,1
12924,1
12969,1
12974,1
12975,1
12986,1
12987,1
13006,1
13008,1
13022,1
13024,1
13026,1
13029,1
13034,1
13037,1
13038,1
13069,1
13079,1
13092,1
13093,1
13104,1
13107,1
13127,1
13131,1
13132,1
13133,1
13185,1
13186,1
13199,1
13216,1
13239,1
13240,1
13242,1
13249,1
13261,1
13263,1
13267,1
13269,1
13277,1
13278,1
13281,1
13293,1
13301,1
13308,1
13332,1
13344,1
13348,1
13349,1
13356,1
13374,1
13392,1
13396,1
13399,1
13400,1
13403,1
13411,1
13412,1
13413,1
13433,1
13438,1
13447,1
13448,1
13453,1
13464,1
13465,1
13475,1
13476,1
13478,1
13493,1
13494,1
13501,1
13507,1
13509,1
13510,1
13522,1
13526,1
13527,1
13541,1
13548,1
13555,1
13556,1
13557,1
13558,1
13584,1
13589,1
13590,1
13591,1
13597,1
13601,1
13609,1
13610,1
13611,1
13623,1
13635,1
13637,1
13638,1
13655,1
13658,1
13662,1
13663,1
13675,1
13678,1
13679,1
13683,1
13687,1
13694,1
13695,1
13697,1
13707,1
13725,1
13732,1
13738,1
13747,1
13753,1
13757,1
13764,1
13765,1
13766,1
13781,1
13784,1
13785,1
13786,1
13787,1
13789,1
13795,1
13796,1
13803,1
13808,1
13818,1
13823,1
13824,1
13828,1
13834,1
13835,1
13837,1
13838,1
13851,1
13852,1
13885,1
13902,1
13908,1
13923,1
13928,1
13929,1
13932,1
13936,1
13946,1
13947,1
13958,1
13963,1
13965,1
13971,1
13980,1
13989,1
13990,1
14002,1
14010,1
14014,1
14021,1
14033,1
14040,1
14042,1
14043,1
14047,1
14048,1
14055,1
14056,1
14060,1
